4.58	0.05	5	Cvvv	Gggg	Cvvv	4	4	1	1	8.71	9.47	4.63	1	1	0	0	0	0	0	0.25	0.78	0.25	0.78	0												
4.63	0.35	5	Bvcv	Evcc	BvcvEvcc	4	4	1	2	9.48	4.74	4.98	0	0	-5.44	0	0	0.25	2.63	0.25	5.25	0	2.63	0												
4.78	0.98	6	Avcv	Dvvv	AvcvDvvv	4	5	2	1	1.74	6.49	5.77	0	0	176.18	0	0	0.25	11.08	0.25	14.71	0	3.72	0												
4.80	0.14	1	Dccc	Gggg	D9ccc	4	4	2	2	2.07	4.17	4.94	0	0	-26.56	2	0	0.25	2	0.25	2.125	0.125	1.38	0	0.56	0										
4.81	1.13	4	Accc	Gggg	A1ccc	4	5	2	1	2.12	9	5.93	1	0	4.57	0	0	0	0	0.25	16.88	0.25	13.75	0												
4.97	0.68	7	Cvvv	Gggg	Cvvv	4	5	2	1	4.56	4.74	5.65	1	0	0	0	0	0	0	0.25	10.17	0.25	7.8	0												
4.98	0.46	1	Avcv	Dvvv	AvcvDvvv	4	5	2	1	4.73	1.61	5.44	0	0	-175.60	0	0	0	3.625	0.25	7.24	0.25	3.625	0												
4.99	0.10	8	Avvv	Bvvv	ABvvv	4	4	2	2	4.84	6.27	5.08	0	1	0	0	0	0	0.375	0.125	1	0.25	1.37	0.25	1.37	0										
4.99	0.32	2	Dccc	Fccc	DcccFccc	4	4	2	2	4.85	9.61	5.31	0	0	0	0	0	0.25	4.75	0.25	4.75	0.125	4.38	0	0.125	0	0.5	0.125								
5.01	0.56	5	Dccv	Gggg	Dccv	4	5	2	1	5.14	3.5	5.57	0	1	0	0	0	0	0.63	0.125	0.125	0.25	8.375	0.25	8.375	0										
5.18	0.51	8	Bcvv	Dvvc	BcvvDvvc	4	5	2	1	7.75	5.44	5.70	0	1	0	0	0	0	1.4	0.25	7.69	0.25	7.69	0												
5.29	0.09	3	Bccc	Eccc	BcccEccc	4	5	2	1	9.38	0.8	5.39	0	0	0	0	0	0.125	0	0.25	1.41	0.25	0.5	0	0.25	0										
5.47	0.53	1	Dvvv	Gggg	Dvvv	5	5	1	1	2	10	6.00	0	0	-173.99	2	0	0	2.375	0.25	7.125	0.25	7.75	0.125	8	0										
5.57	0.09	3	Accc	Bccc	AcccBccc	5	5	1	1	3.59	4.9	5.66	0	0	0	0	0	0.25	0.56	0.25	0.34	0.2	1.25	0	0.75	0	0.25	0.125	0.34	0.2						
5.58	0.19	2	Bvcv	Ccvv	BvcvCcvv	5	5	1	1	3.75	6.576	5.77	0	0	0	0	0	0.25	2.81	0.25	2.17	0.125	2.17	0												
5.65	0.25	7	Dvcv	Fvvc	DvcvFvvc	5	5	1	1	4.80	8.56	5.90	0	1	0	0	0	0	0	0.125	0.48	0.25	8.56	0.25	8.56	0										
5.68	0.32	3	Bccc	Eccc	BcccEccc	5	5	1	1	5.24	10	6.00	0	0	0	0	0	0.25	4.74	0.25	0.75	0	0.125	0	0.5	0.125										
5.73	0.69	8	Dvvv	Gggg	Dvvv	5	5	1	2	5.92	6.25	6.42	0	0	45	0	0	0	0.25	0.25	8.92	0.25	10.42	0												
5.74	0.66	5	Evvv	Gggg	Evvv	5	5	1	2	6.11	5.97	6.40	0	0	175.9	0	0	0.25	7	0.25	10	0	3.5	0												
5.84	1.09	6	Bccc	Gggg	B5ccc	5	6	1	1	7.53	3.90	6.93	1	0	-5.64	1	0	0	0	0.25	13.88	0.25	16.40	0												
5.90	0.07	4	Bvvc	Gggg	Bvvc	5	5	1	1	8.56	9.66	5.98	0	1	0	0	0	0	1.23	0.25	1.23	0														
5.90	0.70	7	Dcvc	Acvv	DcvcAcvv	5	5	1	2	8.56	9.0	6.60	1	0	0	0	0	0	0	0.25	6.54	0.25	10.44	0												
5.93	0.41	2	Dvcc	Gggg	Dvcc	5	5	1	2	9	5.125	6.34	0	0	175.23	1	0	0.25	3.09	0.25	6.125	0	1.75	0												
6.04	0.20	3	Avvv	Bvvv	ABvvv	5	5	2	2	0.62	3.60	6.24	0	0	0	0	0	0	1.12	0.25	3.0	0.25	2.88	0.125	2.50	0										
6.05	0.15	1	Accc	Dccc	AcccDccc	5	5	2	2	0.75	3	6.20	0	0	-26.6	2	0	0.25	2.25	0.25	1.64	0	0.5	0												
6.06	0.12	4	Dvcv	Fvvc	DvcvFvvc	5	5	2	2	0.84	2.65	6.18	1	0	0	0	0	0	0	0.25	1.79	0.25	1.48	0.125	0.75	0										
6.24	0.15	3	Dvvv	Gggg	Dvvv	5	5	2	2	3.56	5.83	6.39	0	0	-161.6	0	0	0	0.83	0.25	2.25	0.25	1.63	0												
6.28	0.52	4	Ccvc	Gggg	Ccvc	5	6	2	1	4.21	2	6.80	0	1	0	0	0	0	2.53	0.25	7.77	0.25	7.77	0												
6.31	0.40	2	Accc	Fccc	A1cccFccc	5	6	2	1	4.71	0.70	6.71	0	0	-173.8	1	0	0.25	5.96	0.25	3.75	0	1.39	0												
6.33	0.45	1	Cccc	Fccc	CcccFccc	5	6	2	1	5.02	1.84	6.79	0	0	3.95	0	0	0	3.62	0.25	6.82	0.25	5.09	0												
6.37	0.08	3	Dccc	Gggg	D4ccc	5	5	2	2	5.60	6.73	6.45	0	0	0	0	0	0	0.86	0.125	0.86	0.25	1.13	0.25	1.02	0.125	0.25	0								
6.43	0.47	7	Dvvv	Gggg	Dvvv	5	6	2	1	6.46	3.56	6.90	0	0	175.9	0	0	0.25	3.53	0.25	7.09	0	3.53	0												
6.46	0.12	5	Cccv	Gggg	Cccv	5	5	2	2	6.92	8.78	6.59	1	1	0	0	0	0	0	0.25	1.87	0.25	1.87	0												
6.50	0.14	8	Dvvc	Gggg	Dvvc	5	5	2	2	7.48	9.6	6.64	0	0	0	0	0	0.25	2.15	0.25	2.15	0														
6.55	0.19	3	Bvcc	Ccvc	BvccCcvc	5	6	2	1	8.24	1.12	6.74	0	0	0	0	0	0.25	2.19	0.25	2.88	0	0.65	0												
6.59	0.79	5	Cccc	Eccc	CcccEccc	5	6	2	2	8.91	0.82	7.39	0	0	0	0	0	0.25	10.18	0.25	11.90	0	2.31	0												
6.67	0.52	8	Acvc	Dccv	AcvcDccv	6	6	1	1	0.1	7.86	7.19	0	0	0	0	0	0.25	7.75	0.25	3.91	0	2.02	0												
6.74	0.29	1	Dvcv	Fvvc	DvcvFvvc	6	6	1	1	1.13	5.54	7.04	0	0	0	0	0	0	3.19	0.25	4.34	0.25	3.94	0.125	3.94	0										
6.75	0.18	2	Cvvv	Dvvv	CDvvv	6	6	1	1	1.24	3.87	6.92	0	0	0	0	0	0.125	0.75	0.25	2.25	0.25	1.75	0.125	2.62	0	0.75	0								
6.82	0.47	3	Cccc	Gggg	C5ccc	6	6	1	1	2.29	9.4	7.29	0	0	-175.9	0	0	0	3.54	0.25	7.1	0.25	3.54	0												
6.90	0.58	7	Cccc	Fccc	C1cccF1ccc	6	6	1	2	3.48	2.22	7.48	0	1	0	0	0	0.25	8.75	0.25	8.75	0	0.38	0												
6.96	0.48	6	Cvvv	Dvvv	CDvvv	6	6	1	2	4.41	1.54	7.44	0	0	0	0	0	0.25	7.09	0.25	5.54	0	0.40	0	0.60	0.125										
6.98	0.09	2	Fccc	Gggg	F9ccc	6	6	1	1	4.74	6.10	7.07	0	1	0	0	0	0.25	1.39	0.25	1.39	0	1	0	0.88	0.125										
7.00	0.60	4	Bccc	Fccc	BcccFccc	6	6	1	2	5.07	4.06	7.60	0	1	0	0	0	0.25	8	0.25	8	0	0.45	0												
7.01	0.21	1	Avvv	Gggg	Avvv	6	6	1	1	5.17	8.38	7.23	0	0	15.4	0	0	0	0.91	0.25	1.28	0.25	3.25	0												
7.09	0.10	2	Avcc	Gggg	Avcc	6	6	1	1	6.29	7.80	7.19	0	0	0	0	0	0	0.56	0.25	1.53	0.25	1.53	0.125	1.25	0										
7.23	0.51	1	Bvcv	Evcc	BvcvEvcc	6	6	1	2	8.45	6.04	7.74	1	0	-175.9	0	0	0	0	0.25	7.04	0.25	3.54	0												
7.27	0.60	8	Dcvc	Acvv	DcvcAcvv	6	6	1	2	9.09	8.12	7.87	1	0	0	0	0	0	0	0.25	6.53	0.25	9.04	0												
7.35	0.23	2	Dccc	Gggg	D5ccc	6	6	2	2	0.2	3.68	7.58	1	0	0	0	0	0	0	0.25	2.34	0.25	3.48	0												
7.42	0.41	3	Ecvv	Gggg	Ecvv	6	6	2	2	1.23	7.32	7.82	0	0	0	0	0	0.25	6.08	0.25	5.59	0.125	6.08	0	2.82	0										
